               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,              0.0378,              0.0215,            0.015925,             0.74914,             0.69948,             0.71488,             0.38686,            0.039661,           0.0085113,            0.015403,            0.002674,            0.002674,            0.002674
                  76,            0.037669,            0.021673,             0.01515,             0.74453,             0.68648,             0.70875,             0.38284,            0.039936,           0.0085452,              0.0167,            0.002575,            0.002575,            0.002575
                  77,            0.037656,            0.021282,            0.015209,             0.75551,             0.67917,             0.71016,               0.383,            0.040038,           0.0086022,             0.01519,            0.002476,            0.002476,            0.002476
                  78,            0.037592,            0.021081,             0.01498,             0.76218,             0.67509,             0.71055,             0.38176,            0.039843,           0.0086118,             0.01581,            0.002377,            0.002377,            0.002377
                  79,            0.036914,            0.021085,            0.014186,              0.7425,             0.70306,              0.7066,             0.38004,            0.039879,           0.0085545,            0.015606,            0.002278,            0.002278,            0.002278
                  80,             0.03707,            0.021173,            0.015379,             0.75608,             0.68673,             0.70693,             0.38665,             0.03953,           0.0085613,            0.016399,            0.002179,            0.002179,            0.002179
                  81,            0.037056,            0.020978,            0.014458,             0.73551,             0.68879,             0.70593,             0.38041,            0.039935,           0.0085232,            0.015347,             0.00208,             0.00208,             0.00208
                  82,            0.036601,            0.021248,            0.014371,             0.71672,              0.7108,             0.70584,             0.38552,            0.039705,           0.0085077,             0.01712,            0.001981,            0.001981,            0.001981
                  83,            0.036565,            0.020945,            0.014368,             0.72767,             0.70426,             0.70913,             0.38468,            0.039693,           0.0085472,            0.016038,            0.001882,            0.001882,            0.001882
                  84,            0.037143,            0.021165,            0.014066,             0.74627,             0.70243,             0.70745,             0.38393,             0.03946,           0.0085483,            0.015307,            0.001783,            0.001783,            0.001783
                  85,            0.036501,            0.020772,            0.013814,             0.74283,             0.70998,              0.7121,             0.38575,            0.039389,           0.0084981,            0.015573,            0.001684,            0.001684,            0.001684
                  86,            0.036569,            0.020826,            0.014119,             0.74595,             0.70905,             0.71215,             0.38754,            0.039362,           0.0085487,            0.015966,            0.001585,            0.001585,            0.001585
                  87,            0.036742,            0.021244,            0.013889,             0.75192,             0.70345,             0.71385,             0.38558,            0.039269,           0.0085314,            0.016302,            0.001486,            0.001486,            0.001486
                  88,            0.035985,            0.020944,            0.013639,             0.75382,             0.69167,              0.7134,             0.38508,            0.039184,           0.0085104,            0.016099,            0.001387,            0.001387,            0.001387
                  89,            0.036215,            0.021132,            0.013927,             0.73672,             0.70686,             0.71025,             0.38175,            0.039248,           0.0085091,            0.015668,            0.001288,            0.001288,            0.001288
                  90,            0.036206,            0.021036,            0.013486,              0.7461,             0.69997,             0.70895,             0.38593,            0.039245,           0.0084872,            0.015932,            0.001189,            0.001189,            0.001189
                  91,             0.03614,            0.021652,            0.012992,             0.74717,             0.70429,             0.71448,             0.38957,            0.039224,           0.0084628,            0.015866,             0.00109,             0.00109,             0.00109
                  92,            0.035712,            0.020919,            0.013042,             0.74348,             0.71427,             0.71492,             0.39022,            0.039147,           0.0084736,             0.01585,            0.000991,            0.000991,            0.000991
                  93,            0.035513,            0.020693,            0.012702,             0.75407,             0.71184,             0.71618,             0.38822,            0.039173,           0.0084812,            0.015359,            0.000892,            0.000892,            0.000892
                  94,            0.035603,            0.020823,            0.012205,              0.7589,             0.70068,             0.71715,              0.3921,            0.039173,           0.0084348,            0.016105,            0.000793,            0.000793,            0.000793
                  95,            0.035534,            0.020999,            0.012835,             0.75339,             0.71096,             0.71969,             0.39057,            0.039072,           0.0084563,            0.015878,            0.000694,            0.000694,            0.000694
                  96,            0.035316,            0.020893,            0.012069,             0.75641,             0.70524,             0.71769,             0.39149,            0.039005,           0.0084607,            0.015365,            0.000595,            0.000595,            0.000595
                  97,            0.035179,            0.020867,            0.011811,             0.76894,             0.70335,             0.71936,             0.39174,            0.039032,           0.0084641,            0.015318,            0.000496,            0.000496,            0.000496
                  98,            0.035058,            0.020564,            0.012735,             0.76497,             0.71001,             0.72045,             0.39405,            0.039009,           0.0084364,            0.015763,            0.000397,            0.000397,            0.000397
                  99,            0.035015,            0.020724,            0.012716,             0.76134,              0.7048,             0.71889,             0.39293,            0.038991,           0.0084452,            0.015446,            0.000298,            0.000298,            0.000298
